pipeline_json,seed,called_shared_het_recall,called_phasing_rate_shared_het,called_phase_accuracy,called_effective_phased_recall,called_loss_calling_or_sites,called_loss_unphased,called_loss_switch_or_phase_error,called_effective_phased_recall_check
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq20_s0.pipeline.json,0,0.2676348547717842,0.3837209302325581,1.0,0.1026970954356846,0.7323651452282158,0.16493775933609958,0.0,0.10269709543568463
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq20_s1.pipeline.json,1,0.2891191709844559,0.4157706093189964,1.0,0.1202072538860103,0.7108808290155442,0.16891191709844558,0.0,0.12020725388601033
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq20_s2.pipeline.json,2,0.2849794238683127,0.4296028880866426,1.0,0.1224279835390946,0.7150205761316872,0.1625514403292181,0.0,0.12242798353909463
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq20_s3.pipeline.json,3,0.2960251046025104,0.4204946996466431,1.0,0.1244769874476987,0.7039748953974896,0.1715481171548117,0.0,0.12447698744769872
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq20_s4.pipeline.json,4,0.2992623814541623,0.3450704225352112,1.0,0.1032665964172813,0.7007376185458377,0.19599578503688095,0.0,0.10326659641728134
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq5_s0.pipeline.json,0,0.4906639004149377,0.6131078224101479,1.0,0.3008298755186722,0.5093360995850623,0.18983402489626555,0.0,0.30082987551867213
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq5_s1.pipeline.json,1,0.5191709844559586,0.6586826347305389,1.0,0.3419689119170984,0.48082901554404145,0.1772020725388601,0.0,0.34196891191709844
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq5_s2.pipeline.json,2,0.5318930041152263,0.6499032882011605,1.0,0.345679012345679,0.46810699588477367,0.18621399176954734,0.0,0.345679012345679
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq5_s3.pipeline.json,3,0.5240585774058577,0.5489021956087824,1.0,0.2876569037656903,0.4759414225941423,0.23640167364016737,0.0,0.28765690376569036
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq10_cbq5_s4.pipeline.json,4,0.5247629083245522,0.5763052208835341,1.0,0.3024236037934668,0.4752370916754478,0.22233930453108539,0.0,0.3024236037934668
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq10_s0.pipeline.json,0,0.4906639004149377,0.6131078224101479,1.0,0.3008298755186722,0.5093360995850623,0.18983402489626555,0.0,0.30082987551867213
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq10_s1.pipeline.json,1,0.5191709844559586,0.6586826347305389,1.0,0.3419689119170984,0.48082901554404145,0.1772020725388601,0.0,0.34196891191709844
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq10_s2.pipeline.json,2,0.5318930041152263,0.6499032882011605,1.0,0.345679012345679,0.46810699588477367,0.18621399176954734,0.0,0.345679012345679
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq10_s3.pipeline.json,3,0.5240585774058577,0.5489021956087824,1.0,0.2876569037656903,0.4759414225941423,0.23640167364016737,0.0,0.28765690376569036
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq10_s4.pipeline.json,4,0.5247629083245522,0.5742971887550201,1.0,0.3013698630136986,0.4752370916754478,0.22339304531085352,0.0,0.30136986301369867
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq15_s0.pipeline.json,0,0.483402489626556,0.6158798283261803,1.0,0.2977178423236514,0.5165975103734439,0.18568464730290457,0.0,0.29771784232365145
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq15_s1.pipeline.json,1,0.5170984455958549,0.6633266533066132,1.0,0.3430051813471502,0.48290155440414506,0.17409326424870467,0.0,0.34300518134715025
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq15_s2.pipeline.json,2,0.5164609053497943,0.6354581673306773,1.0,0.3281893004115226,0.4835390946502057,0.18827160493827164,0.0,0.32818930041152267
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq15_s3.pipeline.json,3,0.5125523012552301,0.5469387755102041,1.0,0.2803347280334728,0.4874476987447699,0.23221757322175732,0.0,0.2803347280334728
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq15_s4.pipeline.json,4,0.5194942044257113,0.5517241379310345,0.8125,0.2328767123287671,0.48050579557428874,0.2328767123287671,0.053740779768177024,0.2328767123287671
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq20_s0.pipeline.json,0,0.2676348547717842,0.3837209302325581,1.0,0.1026970954356846,0.7323651452282158,0.16493775933609958,0.0,0.10269709543568463
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq20_s1.pipeline.json,1,0.2891191709844559,0.4157706093189964,1.0,0.1202072538860103,0.7108808290155442,0.16891191709844558,0.0,0.12020725388601033
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq20_s2.pipeline.json,2,0.2849794238683127,0.4296028880866426,1.0,0.1224279835390946,0.7150205761316872,0.1625514403292181,0.0,0.12242798353909463
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq20_s3.pipeline.json,3,0.2960251046025104,0.4204946996466431,1.0,0.1244769874476987,0.7039748953974896,0.1715481171548117,0.0,0.12447698744769872
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq20_s4.pipeline.json,4,0.2992623814541623,0.3450704225352112,1.0,0.1032665964172813,0.7007376185458377,0.19599578503688095,0.0,0.10326659641728134
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq5_s0.pipeline.json,0,0.4906639004149377,0.6131078224101479,1.0,0.3008298755186722,0.5093360995850623,0.18983402489626555,0.0,0.30082987551867213
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq5_s1.pipeline.json,1,0.5191709844559586,0.6586826347305389,1.0,0.3419689119170984,0.48082901554404145,0.1772020725388601,0.0,0.34196891191709844
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq5_s2.pipeline.json,2,0.5318930041152263,0.6499032882011605,1.0,0.345679012345679,0.46810699588477367,0.18621399176954734,0.0,0.345679012345679
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq5_s3.pipeline.json,3,0.5240585774058577,0.5489021956087824,1.0,0.2876569037656903,0.4759414225941423,0.23640167364016737,0.0,0.28765690376569036
output/experiments_draft/08_optimize_whatshap/calling_threshold_grid/cmq20_cbq5_s4.pipeline.json,4,0.5247629083245522,0.5742971887550201,1.0,0.3013698630136986,0.4752370916754478,0.22339304531085352,0.0,0.30136986301369867
